    12.000     5.000     6.000     6.000     3.000     8.923     1.497    -0.194     0.089   1
    14.000     3.000     3.000     6.000     5.000     8.838     1.497    -0.183     0.089   2
    14.000    15.000     8.000    13.000     2.000    11.616     1.497    -0.186     0.089   3
     4.000     4.000     0.000     3.000     7.000     6.395     1.497    -0.117     0.089   4
    10.000     8.000     1.000     1.000     4.000     7.949     1.497    -0.220     0.089   5
    12.000    12.000     9.000     3.000     8.000    10.136     1.497    -0.166     0.089   6
     4.000    10.000     5.000    11.000     7.000     8.573     1.497    -0.061     0.089   7
     9.000     8.000     2.000     3.000     3.000     8.006     1.497    -0.209     0.089   8
     9.000     6.000     1.000    13.000    14.000     9.158     1.497     0.011     0.089   9
    17.000     6.000     9.000     5.000     9.000    10.576     1.497    -0.159     0.089  10
     6.000     0.000    10.000     7.000     2.000     7.457     1.497    -0.140     0.089  11
    15.000     6.000     3.000     3.000     6.000     9.202     1.497    -0.207     0.089  12
    10.000    12.000     7.000    11.000    13.000    10.572     1.497    -0.029     0.089  13
    13.000    16.000    17.000    14.000    11.000    12.997     1.497    -0.046     0.089  14
     6.000     2.000     3.000     1.000     2.000     6.399     1.497    -0.201     0.089  15
     7.000    11.000     6.000     2.000     1.000     8.232     1.497    -0.229     0.089  16
    11.000     8.000     8.000     3.000     3.000     9.036     1.497    -0.214     0.089  17
    12.000     1.000     6.000     2.000     0.000     7.813     1.497    -0.254     0.089  18
     7.000     2.000     3.000     9.000     1.000     7.381     1.497    -0.159     0.089  19
    10.000     2.000     9.000     9.000     7.000     8.894     1.497    -0.095     0.089  20
     8.000     2.000     1.000    11.000     3.000     7.678     1.497    -0.128     0.089  21
     8.000     5.000     3.000     3.000     1.000     7.390     1.497    -0.219     0.089  22
    13.000     5.000    12.000    14.000     4.000    10.616     1.497    -0.117     0.089  23
    13.000    11.000    16.000    14.000    13.000    12.285     1.497    -0.011     0.089  24
     4.000     5.000     7.000     9.000    10.000     8.012     1.497    -0.025     0.089  25
    11.000     8.000     6.000     7.000     3.000     9.241     1.497    -0.186     0.089  26
     9.000    12.000     6.000     3.000     2.000     8.932     1.497    -0.225     0.089  27
    17.000    13.000    16.000    12.000     6.000    12.860     1.497    -0.148     0.089  28
    13.000     8.000     3.000    10.000    11.000    10.021     1.497    -0.080     0.089  29
    10.000     7.000     2.000     3.000     1.000     7.979     1.497    -0.239     0.089  30
     7.000     4.000     0.000     2.000     2.000     6.678     1.497    -0.209     0.089  31
    15.000     2.000     1.000     8.000     3.000     8.810     1.497    -0.200     0.089  32
     3.000     3.000     5.000    10.000     6.000     7.238     1.497    -0.059     0.089  33
     8.000     6.000     5.000     6.000     6.000     8.276     1.497    -0.132     0.089  34
    15.000    14.000     8.000    14.000     5.000    11.923     1.497    -0.145     0.089  35
    10.000     9.000     9.000     6.000     6.000     9.520     1.497    -0.147     0.089  36
     8.000     2.000    10.000    15.000    15.000     9.572     1.497     0.069     0.089  37
    10.000     7.000     6.000     4.000     4.000     8.633     1.497    -0.188     0.089  38
     7.000     0.000     7.000     9.000     8.000     7.836     1.497    -0.060     0.089  39
     7.000     1.000     4.000     8.000     5.000     7.426     1.497    -0.112     0.089  40
     7.000    10.000     0.000     7.000     5.000     8.172     1.497    -0.146     0.089  41
    11.000    14.000     0.000     3.000     9.000     9.329     1.497    -0.163     0.089  42
    14.000     9.000     1.000     9.000     0.000     9.550     1.497    -0.239     0.089  43
    12.000     3.000     7.000     2.000     4.000     8.381     1.497    -0.207     0.089  44
    11.000    15.000     6.000     7.000     9.000    10.499     1.497    -0.126     0.089  45
    10.000    12.000    15.000     2.000     8.000    10.241     1.497    -0.151     0.089  46
    14.000     5.000     1.000     8.000     3.000     9.025     1.497    -0.200     0.089  47
     8.000    10.000     2.000     0.000    10.000     8.095     1.497    -0.141     0.089  48
