1	12	5	6	6	3
2	14	3	3	6	5
3	14	15	8	13	2
4	4	4	0	3	7
5	10	8	1	1	4
6	12	12	9	3	8
7	4	10	5	11	7
8	9	8	2	3	3
9	9	6	1	13	14
10	17	6	9	5	9
11	6	0	10	7	2
12	15	6	3	3	6
13	10	12	7	11	13
14	13	16	17	14	11
15	6	2	3	1	2
16	7	11	6	2	1
17	11	8	8	3	3
18	12	1	6	2	0
19	7	2	3	9	1
20	10	2	9	9	7
21	8	2	1	11	3
22	8	5	3	3	1
23	13	5	12	14	4
24	13	11	16	14	13
25	4	5	7	9	10
26	11	8	6	7	3
27	9	12	6	3	2
28	17	13	16	12	6
29	13	8	3	10	11
30	10	7	2	3	1
31	7	4	0	2	2
32	15	2	1	8	3
33	3	3	5	10	6
34	8	6	5	6	6
35	15	14	8	14	5
36	10	9	9	6	6
37	8	2	10	15	15
38	10	7	6	4	4
39	7	0	7	9	8
40	7	1	4	8	5
41	7	10	0	7	5
42	11	14	0	3	9
43	14	9	1	9	0
44	12	3	7	2	4
45	11	15	6	7	9
46	10	12	15	2	8
47	14	5	1	8	3
48	8	10	2	0	10
49	14	4	11	7	8
50	15	3	1	4	3
51	10	8	2	1	3
52	14	12	8	3	1
53	6	7	3	6	10
54	14	11	15	9	12
55	4	5	2	2	2
56	0	2	2	0	3
57	15	6	8	13	4
58	15	5	15	10	8
59	13	3	1	3	1
60	8	4	8	9	9
61	4	1	0	1	1
62	13	5	4	7	6
63	9	5	1	2	2
64	10	12	10	6	10
65	12	12	11	8	7
66	13	0	6	5	8
67	18	16	13	10	8
68	9	1	3	3	2
69	9	9	10	10	8
70	7	4	0	0	0
71	12	11	2	1	2
72	9	14	11	5	10
73	13	6	4	1	5
74	14	13	16	12	14
75	14	7	10	7	14
76	12	9	4	1	0
77	11	3	13	14	11
78	10	9	15	4	3
79	10	10	7	6	5
80	13	8	7	12	8
81	7	12	7	13	16
82	15	9	6	7	3
83	4	4	3	6	2
84	15	11	15	8	9
85	11	3	2	6	2
86	6	6	7	4	8
87	11	0	5	0	1
88	11	9	8	8	4
89	12	5	3	5	12
90	8	6	3	4	1
91	10	8	15	5	13
92	13	4	0	2	1
93	9	3	5	1	1
94	11	1	2	2	6
95	5	1	2	1	2
96	3	8	15	9	9
97	12	14	16	12	12
98	6	7	13	9	6
99	9	17	6	9	11
100	11	11	15	12	13
101	11	11	10	7	1
102	6	11	12	1	9
103	13	6	11	12	14
104	8	5	8	4	9
105	9	10	8	15	8
106	6	4	1	2	0
107	8	4	2	5	2
108	6	1	7	11	7
109	11	4	4	7	8
110	4	2	1	0	0
111	14	12	7	7	10
112	15	7	1	4	5
113	12	3	1	0	2
114	8	13	3	10	3
115	13	12	13	6	0
116	16	4	9	5	6
117	12	5	8	7	13
118	7	7	4	5	3
119	9	8	2	1	0
120	14	7	9	9	1
121	11	15	9	9	9
122	7	2	5	6	4
123	11	4	5	13	6
124	12	11	3	6	10
125	14	9	2	3	7
126	7	5	3	8	11
127	9	10	4	7	3
128	16	7	3	12	7
129	11	13	5	4	2
130	10	4	13	7	6
131	7	8	3	9	12
132	13	5	10	14	11
133	12	6	5	0	13
134	13	13	11	15	7
135	15	5	2	3	1
136	19	11	3	6	14
137	15	7	6	11	10
138	10	4	14	10	10
139	7	9	10	11	18
140	9	7	8	5	2
141	16	10	12	16	17
142	8	7	1	0	0
143	18	12	15	15	13
144	12	11	2	8	11
145	19	16	3	0	0
146	12	11	14	11	11
147	8	1	1	1	1
148	8	6	9	6	9
149	9	14	7	13	2
150	14	12	16	13	13
151	11	8	6	5	1
152	10	5	3	7	14
153	6	6	15	7	4
154	9	14	13	6	2
155	13	9	7	10	11
156	15	12	2	13	4
157	3	2	4	10	3
158	10	10	11	7	8
159	16	16	5	11	8
160	4	4	1	3	5
161	8	6	14	10	6
162	12	5	5	11	14
163	4	7	3	6	4
164	7	5	2	7	1
165	13	10	7	9	14
166	8	3	0	2	1
167	8	5	6	13	9
168	12	14	11	10	7
169	10	5	5	12	8
170	11	8	2	3	3
171	8	0	1	0	2
172	12	10	1	3	13
173	5	4	4	5	7
174	10	4	7	2	8
175	10	11	5	6	9
176	8	8	8	9	13
177	9	2	1	8	1
178	9	0	0	0	0
179	9	3	0	4	7
180	7	4	1	4	1
181	11	16	14	9	14
182	11	2	2	3	2
183	11	10	4	2	9
184	15	15	11	13	11
185	15	4	1	7	0
186	12	2	8	11	11
187	6	6	1	0	3
188	17	6	12	4	9
189	11	12	11	5	4
190	13	10	14	7	7
191	12	10	5	8	8
192	8	4	0	2	13
193	15	7	8	9	3
194	8	5	8	4	1
195	17	14	5	8	4
196	13	14	9	10	9
197	2	2	1	8	3
198	17	11	6	7	11
199	2	13	7	3	11
200	10	9	8	5	3
201	6	7	2	4	3
202	6	2	1	2	3
203	5	3	0	6	10
204	6	7	4	8	12
205	18	16	9	14	6
206	1	1	2	1	0
207	6	3	11	6	14
208	10	3	4	2	3
209	12	5	9	5	10
